revision;file;nodeIdentifier1;nodeIdentifier2
/home/taes/taes//projects/jodd/revisions/rev_7d88093_1943bcf/rev_7d88093-1943bcf.revisions;/jodd-madvoc/src/testInt/java/jodd/madvoc/MyWebApplication2.java;public MyWebApplication2() ;public MyWebApplication2() 
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;private LineReader lineReader_;private LineReader lineReader_
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;private final Text line_ ;private final Text line_ 
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;private final LongWritable key_ ;private final LongWritable key_ 
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;private final W value_;private final W value_
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;private TypeRef<M> typeRef_;private TypeRef<M> typeRef_
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;private final Base64 base64_ ;private final Base64 base64_ 
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;private final BinaryConverter<M> converter_;private final BinaryConverter<M> converter_
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;private Counter linesReadCounter;private Counter linesReadCounter
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;private Counter recordsReadCounter;private Counter recordsReadCounter
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;private Counter recordErrorsCounter;private Counter recordErrorsCounter
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;protected LzoBinaryB64LineRecordReader(TypeRef<M> typeRef, W protobufWritable, BinaryConverter<M> protoConverter) ;protected LzoBinaryB64LineRecordReader(TypeRef<M> typeRef, W protobufWritable, BinaryConverter<M> protoConverter) 
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;@Override  public synchronized void close() throws IOException ;@Override  public synchronized void close() throws IOException 
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;/src/java/com/twitter/elephantbird/mapreduce/input/LzoBinaryB64LineRecordReader.java;@Override  public LongWritable getCurrentKey() throws IOException, InterruptedException ;@Override  public LongWritable getCurrentKey() throws IOException, InterruptedException 
